"lam","Fobar","oza","ag","aw"
376,1.126855,1e-04,0,0
377,1.2420285046729,1e-04,0,0
378,1.33998364485981,1e-04,0,0
379,1.28578858490566,1e-04,0,0
380,1.18778252336448,0,0,0
381,1.20786358490566,0,0,0
382,1.00022859813084,0,0,0
383,0.78839396226415,0,0,0
384,0.848883925233643,0,0,0
385,1.05127644859813,0,0,0
386,1.05240603773585,0,0,0
387,1.07617962264151,0,0,0
388,1.05327373831776,0,0,0
389,1.1358520754717,0,0,0
390,1.24789028301887,0,0,0
391,1.32401877358491,0,0,0
392,1.18395542056075,0,0,0
393,0.879121132075472,0,0,0
394,0.867803773584905,0,0,0
395,1.16265037735849,0,0,0
396,1.13959981132076,0,0,0
397,0.93671943396226,0,0,0
398,1.29578547169811,0,0,0
399,1.66509773584906,0,0,0
400,1.76352264150943,0,0,0
401,1.8246979245283,0,0,0
402,1.90509415094339,0,0,0
403,1.86676735849057,0,0,0
404,1.82064571428571,0,0,0
405,1.77197386792453,0,0,0
406,1.70578122641509,0,0,0
407,1.70031280757098,0,0,0
408,1.71898788643533,0,0,0
409,1.73766296529969,0,0,0
410,1.67162716981132,0,0,0
411,1.63562588607595,0,0,0
412,1.69621765822785,0,0,0
413,1.75680943037975,0,0,0
414,1.79359245283019,0,0,0
415,1.78727733333333,0,0,0
416,1.79406443396226,0,0,0
417,1.80141647619048,0,0,0
418,1.741434,0,0,0
419,1.77189235849057,0,0,0
420,1.74074019047619,0,0,0
421,1.84675923809524,0,0,0
422,1.79328114285714,0,0,0
423,1.71753133333333,0,0,0
424,1.76285571428571,1e-04,0,0
425,1.75523160377358,2e-04,0,0
426,1.75348571428571,3e-04,0,0
427,1.69716666666667,4e-04,0,0
428,1.67523285714286,6e-04,0,0
429,1.58755857142857,8e-04,0,0
430,1.37960047619047,0.001,0,0
431,1.40106714285714,0.0011,0,0
432,1.63202571428571,0.0013,0,0
433,1.70494380952381,0.0015,0,0
434,1.6619675,0.0017,0,0
435,1.68405561904762,0.0019,0,0
436,1.81838323809524,0.002,0,0
437,1.852808,0.0022,0,0
438,1.74630923076923,0.0024,0,0
439,1.71841628571429,0.0026,0,0
440,1.85040466666667,0.0027,0,0
441,1.87471173076923,0.0028,0,0
442,1.98079826923077,0.0029,0,0
443,1.98142666666667,0.003,0,0
444,1.98557653846154,0.003,0,0
445,1.97306904761905,0.0029,0,0
446,1.90164,0.0029,0,0
447,1.99393666666667,0.0028,0,0
448,2.04734788461538,0.0028,0,0
449,2.0553400952381,0.0028,0,0
450,2.12056730769231,0.003,0,0
451,2.16742115384615,0.0033,0,0
452,2.11108076923077,0.0038,0,0
453,2.03064771428571,0.0043,0,0
454,2.04529884615385,0.0049,0,0
455,2.09684884615385,0.0054,0,0
456,2.12383653846154,0.006,0,0
457,2.15544586538462,0.0066,0,0
458,2.12512480769231,0.0072,0,0
459,2.07688605769231,0.0077,0,0
460,2.08363365384615,0.0082,0,0
461,2.11977576923077,0.0086,0,0
462,2.14246509615385,0.0087,0,0
463,2.14616375,0.0087,0,0
464,2.09461711538462,0.0085,0,0
465,2.04849259615385,0.0082,0,0
466,2.08187451923077,0.0078,0,0
467,2.00932644230769,0.0075,0,0
468,2.05614912621359,0.0073,0,0
469,2.06798346153846,0.0072,0,0
470,2.01350942307692,0.0074,0,0
471,2.01931153846154,0.0079,0,0
472,2.11098553398058,0.0087,0,0
473,2.08707240384615,0.0097,0,0
474,2.11166223300971,0.0108,0,0
475,2.12964538461539,0.0119,0,0
476,2.09810689320388,0.0131,0,0
477,2.11871375,0.0143,0,0
478,2.13856349514563,0.0154,0,0
479,2.13389480769231,0.0166,0,0
480,2.12394223300971,0.0177,0,0
481,2.12320844660194,0.0187,0,0
482,2.11822846153846,0.0196,0,0
483,2.09125019417476,0.0202,0,0
484,2.06142388349515,0.0205,0,0
485,1.96447339805825,0.0203,0,0
486,1.79759115384615,0.0197,0,0
487,1.79763223300971,0.0191,0,0
488,1.94288116504854,0.0185,0,0
489,1.97952922330097,0.0182,0,0
490,2.05440611650485,0.0183,0,0
491,2.03260339805825,0.0187,0,0
492,1.94884844660194,0.0193,0,0
493,1.98801990291262,0.0201,0,0
494,2.00124902912621,0.0209,0,0
495,2.06236029411765,0.0218,0,0
496,2.00972233009709,0.0228,0,0
497,2.03538213592233,0.0239,0,0
498,1.97348893203883,0.025,0,0
499,1.96370048543689,0.0263,0,0
